,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
0,Bharatiya Janata Party - BJP,1,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396,Andaman &amp; Nicobar Islands
1,Telugu Desam - TDP,16,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
2,Telugu Desam - TDP,16,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
3,Telugu Desam - TDP,16,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
4,Telugu Desam - TDP,16,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
5,Telugu Desam - TDP,16,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
6,Telugu Desam - TDP,16,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
7,Telugu Desam - TDP,16,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
8,Telugu Desam - TDP,16,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
9,Telugu Desam - TDP,16,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
10,Telugu Desam - TDP,16,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
11,Telugu Desam - TDP,16,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
12,Telugu Desam - TDP,16,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
13,Telugu Desam - TDP,16,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
14,Telugu Desam - TDP,16,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
15,Telugu Desam - TDP,16,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
16,Telugu Desam - TDP,16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
17,Telugu Desam - TDP,16,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
18,Telugu Desam - TDP,16,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
19,Telugu Desam - TDP,16,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
20,Telugu Desam - TDP,16,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
21,Telugu Desam - TDP,16,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
22,Telugu Desam - TDP,16,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
23,Telugu Desam - TDP,16,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
24,Telugu Desam - TDP,16,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
25,Telugu Desam - TDP,16,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
26,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
27,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
28,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
29,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
30,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
31,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
32,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
33,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
34,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
35,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
36,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
37,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
38,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
39,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
40,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
41,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
42,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
43,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
44,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
45,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
46,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
47,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
48,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
49,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
50,Yuvajana Sramika Rythu Congress Party - YSRCP,4,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
51,Bharatiya Janata Party - BJP,3,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
52,Bharatiya Janata Party - BJP,3,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
53,Bharatiya Janata Party - BJP,3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
54,Bharatiya Janata Party - BJP,3,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
55,Bharatiya Janata Party - BJP,3,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
56,Bharatiya Janata Party - BJP,3,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
57,Bharatiya Janata Party - BJP,3,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
58,Bharatiya Janata Party - BJP,3,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
59,Bharatiya Janata Party - BJP,3,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
60,Bharatiya Janata Party - BJP,3,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
61,Bharatiya Janata Party - BJP,3,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
62,Bharatiya Janata Party - BJP,3,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
63,Bharatiya Janata Party - BJP,3,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
64,Bharatiya Janata Party - BJP,3,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
65,Bharatiya Janata Party - BJP,3,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
66,Bharatiya Janata Party - BJP,3,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
67,Bharatiya Janata Party - BJP,3,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
68,Bharatiya Janata Party - BJP,3,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
69,Bharatiya Janata Party - BJP,3,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
70,Bharatiya Janata Party - BJP,3,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
71,Bharatiya Janata Party - BJP,3,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
72,Bharatiya Janata Party - BJP,3,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
73,Bharatiya Janata Party - BJP,3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
74,Bharatiya Janata Party - BJP,3,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
75,Bharatiya Janata Party - BJP,3,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
76,Janasena Party - JnP,2,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901,Andhra Pradesh
77,Janasena Party - JnP,2,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351,Andhra Pradesh
78,Janasena Party - JnP,2,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247,Andhra Pradesh
79,Janasena Party - JnP,2,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196,Andhra Pradesh
80,Janasena Party - JnP,2,Eluru(10),PUTTA MAHESH KUMAR,746351,181857,Andhra Pradesh
81,Janasena Party - JnP,2,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085,Andhra Pradesh
82,Janasena Party - JnP,2,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695,Andhra Pradesh
83,Janasena Party - JnP,2,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729,Andhra Pradesh
84,Janasena Party - JnP,2,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031,Andhra Pradesh
85,Janasena Party - JnP,2,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199,Andhra Pradesh
86,Janasena Party - JnP,2,Nandyal(17),DR BYREDDY SHABARI,701131,111975,Andhra Pradesh
87,Janasena Party - JnP,2,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298,Andhra Pradesh
88,Janasena Party - JnP,2,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555,Andhra Pradesh
89,Janasena Party - JnP,2,Hindupur(20),B K PARTHASARATHI,725534,132427,Andhra Pradesh
90,Janasena Party - JnP,2,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902,Andhra Pradesh
91,Janasena Party - JnP,2,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479,Andhra Pradesh
92,Janasena Party - JnP,2,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580,Andhra Pradesh
93,Janasena Party - JnP,2,Kadapa(21),Y. S. AVINASH REDDY,605143,62695,Andhra Pradesh
94,Janasena Party - JnP,2,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569,Andhra Pradesh
95,Janasena Party - JnP,2,Rajampet(24),P V MIDHUN REDDY,644844,76071,Andhra Pradesh
96,Janasena Party - JnP,2,Anakapalle(5),C.M.RAMESH,762069,296530,Andhra Pradesh
97,Janasena Party - JnP,2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139,Andhra Pradesh
98,Janasena Party - JnP,2,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802,Andhra Pradesh
99,Janasena Party - JnP,2,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491,Andhra Pradesh
100,Janasena Party - JnP,2,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179,Andhra Pradesh
101,Bharatiya Janata Party - BJP,2,Arunachal West(1),KIREN RIJIJU,205417,100738,Arunachal Pradesh
102,Bharatiya Janata Party - BJP,2,Arunachal East(2),TAPIR GAO,145581,30421,Arunachal Pradesh
103,Bharatiya Janata Party - BJP,9,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Assam
104,Bharatiya Janata Party - BJP,9,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Assam
105,Bharatiya Janata Party - BJP,9,Diphu(6),AMARSING TISSO,334620,147603,Assam
106,Bharatiya Janata Party - BJP,9,Karimganj(7),KRIPANATH MALLAH,545093,18360,Assam
107,Bharatiya Janata Party - BJP,9,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Assam
108,Bharatiya Janata Party - BJP,9,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Assam
109,Bharatiya Janata Party - BJP,9,Sonitpur(11),RANJIT DUTTA,775788,361408,Assam
110,Bharatiya Janata Party - BJP,9,Lakhimpur(12),PRADAN BARUAH,663122,201257,Assam
111,Bharatiya Janata Party - BJP,9,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Assam
112,Bharatiya Janata Party - BJP,9,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Assam
113,Bharatiya Janata Party - BJP,9,Nagaon(9),PRADYUT BORDOLOI,788850,212231,Assam
114,Bharatiya Janata Party - BJP,9,Jorhat(14),GAURAV GOGOI,751771,144393,Assam
115,Bharatiya Janata Party - BJP,9,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,Assam
116,Bharatiya Janata Party - BJP,9,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Assam
117,Indian National Congress - INC,3,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Assam
118,Indian National Congress - INC,3,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Assam
119,Indian National Congress - INC,3,Diphu(6),AMARSING TISSO,334620,147603,Assam
120,Indian National Congress - INC,3,Karimganj(7),KRIPANATH MALLAH,545093,18360,Assam
121,Indian National Congress - INC,3,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Assam
122,Indian National Congress - INC,3,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Assam
123,Indian National Congress - INC,3,Sonitpur(11),RANJIT DUTTA,775788,361408,Assam
124,Indian National Congress - INC,3,Lakhimpur(12),PRADAN BARUAH,663122,201257,Assam
125,Indian National Congress - INC,3,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Assam
126,Indian National Congress - INC,3,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Assam
127,Indian National Congress - INC,3,Nagaon(9),PRADYUT BORDOLOI,788850,212231,Assam
128,Indian National Congress - INC,3,Jorhat(14),GAURAV GOGOI,751771,144393,Assam
129,Indian National Congress - INC,3,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,Assam
130,Indian National Congress - INC,3,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Assam
131,"United People’s Party, Liberal - UPPL",1,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Assam
132,"United People’s Party, Liberal - UPPL",1,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Assam
133,"United People’s Party, Liberal - UPPL",1,Diphu(6),AMARSING TISSO,334620,147603,Assam
134,"United People’s Party, Liberal - UPPL",1,Karimganj(7),KRIPANATH MALLAH,545093,18360,Assam
135,"United People’s Party, Liberal - UPPL",1,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Assam
136,"United People’s Party, Liberal - UPPL",1,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Assam
137,"United People’s Party, Liberal - UPPL",1,Sonitpur(11),RANJIT DUTTA,775788,361408,Assam
138,"United People’s Party, Liberal - UPPL",1,Lakhimpur(12),PRADAN BARUAH,663122,201257,Assam
139,"United People’s Party, Liberal - UPPL",1,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Assam
140,"United People’s Party, Liberal - UPPL",1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Assam
141,"United People’s Party, Liberal - UPPL",1,Nagaon(9),PRADYUT BORDOLOI,788850,212231,Assam
142,"United People’s Party, Liberal - UPPL",1,Jorhat(14),GAURAV GOGOI,751771,144393,Assam
143,"United People’s Party, Liberal - UPPL",1,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,Assam
144,"United People’s Party, Liberal - UPPL",1,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Assam
145,Asom Gana Parishad - AGP,1,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012,Assam
146,Asom Gana Parishad - AGP,1,Guwahati(5),BIJULI KALITA MEDHI,894887,251090,Assam
147,Asom Gana Parishad - AGP,1,Diphu(6),AMARSING TISSO,334620,147603,Assam
148,Asom Gana Parishad - AGP,1,Karimganj(7),KRIPANATH MALLAH,545093,18360,Assam
149,Asom Gana Parishad - AGP,1,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311,Assam
150,Asom Gana Parishad - AGP,1,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947,Assam
151,Asom Gana Parishad - AGP,1,Sonitpur(11),RANJIT DUTTA,775788,361408,Assam
152,Asom Gana Parishad - AGP,1,Lakhimpur(12),PRADAN BARUAH,663122,201257,Assam
153,Asom Gana Parishad - AGP,1,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321,Assam
154,Asom Gana Parishad - AGP,1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476,Assam
155,Asom Gana Parishad - AGP,1,Nagaon(9),PRADYUT BORDOLOI,788850,212231,Assam
156,Asom Gana Parishad - AGP,1,Jorhat(14),GAURAV GOGOI,751771,144393,Assam
157,Asom Gana Parishad - AGP,1,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583,Assam
158,Asom Gana Parishad - AGP,1,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351,Assam
159,Janata Dal  (United) - JD(U),12,Valmiki Nagar (1),SUNIL KUMAR,523422,98675,Bihar
160,Janata Dal  (United) - JD(U),12,Sheohar(4),LOVELY ANAND,476612,29143,Bihar
161,Janata Dal  (United) - JD(U),12,Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356,Bihar
162,Janata Dal  (United) - JD(U),12,Jhanjharpur(7),RAMPRIT MANDAL,533032,184169,Bihar
163,Janata Dal  (United) - JD(U),12,Supaul(8),DILESHWAR KAMAIT,595038,169803,Bihar
164,Janata Dal  (United) - JD(U),12,Madhepura(13),DINESH CHANDRA YADAV,640649,174534,Bihar
165,Janata Dal  (United) - JD(U),12,Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180,Bihar
166,Janata Dal  (United) - JD(U),12,Siwan(18),VIJAYLAKSHMI DEVI,386508,92857,Bihar
167,Janata Dal  (United) - JD(U),12,Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868,Bihar
168,Janata Dal  (United) - JD(U),12,Banka(27),GIRIDHARI YADAV,506678,103844,Bihar
169,Janata Dal  (United) - JD(U),12,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,Bihar
170,Janata Dal  (United) - JD(U),12,Nalanda(29),KAUSHALENDRA KUMAR,559422,169114,Bihar
171,Janata Dal  (United) - JD(U),12,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568,Bihar
172,Janata Dal  (United) - JD(U),12,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287,Bihar
173,Janata Dal  (United) - JD(U),12,Madhubani(6),ASHOK KUMAR YADAV,553428,151945,Bihar
174,Janata Dal  (United) - JD(U),12,Araria(9),PRADEEP KUMAR SINGH,600146,20094,Bihar
175,Janata Dal  (United) - JD(U),12,Darbhanga(14),GOPAL JEE THAKUR,566630,178156,Bihar
176,Janata Dal  (United) - JD(U),12,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927,Bihar
177,Janata Dal  (United) - JD(U),12,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651,Bihar
178,Janata Dal  (United) - JD(U),12,Saran(20),RAJIV PRATAP RUDY,471752,13661,Bihar
179,Janata Dal  (United) - JD(U),12,Ujiarpur(22),NITYANAND RAI,515965,60102,Bihar
180,Janata Dal  (United) - JD(U),12,Begusarai(24),GIRIRAJ SINGH,649331,81480,Bihar
181,Janata Dal  (United) - JD(U),12,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846,Bihar
182,Janata Dal  (United) - JD(U),12,Nawada(39),VIVEK THAKUR,410608,67670,Bihar
183,Janata Dal  (United) - JD(U),12,Vaishali(16),VEENA DEVI,567043,89634,Bihar
184,Janata Dal  (United) - JD(U),12,Hajipur(21),CHIRAG PASWAN,615718,170105,Bihar
185,Janata Dal  (United) - JD(U),12,Samastipur(23),SHAMBHAVI,579786,187251,Bihar
186,Janata Dal  (United) - JD(U),12,Khagaria(25),RAJESH VERMA,538657,161131,Bihar
187,Janata Dal  (United) - JD(U),12,Jamui(40),ARUN BHARTI,509046,112482,Bihar
188,Janata Dal  (United) - JD(U),12,Patliputra(31),MISHA BHARTI,613283,85174,Bihar
189,Janata Dal  (United) - JD(U),12,Buxar(33),SUDHAKAR SINGH,438345,30091,Bihar
190,Janata Dal  (United) - JD(U),12,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591,Bihar
191,Janata Dal  (United) - JD(U),12,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111,Bihar
192,Janata Dal  (United) - JD(U),12,Kishanganj(10),MOHAMMAD JAWED,402850,59692,Bihar
193,Janata Dal  (United) - JD(U),12,Katihar(11),TARIQ ANWAR,567092,49863,Bihar
194,Janata Dal  (United) - JD(U),12,Sasaram(34),MANOJ KUMAR,513004,19157,Bihar
195,Janata Dal  (United) - JD(U),12,Arrah(32),SUDAMA PRASAD,529382,59808,Bihar
196,Janata Dal  (United) - JD(U),12,Karakat(35),RAJA RAM SINGH,380581,105858,Bihar
197,Janata Dal  (United) - JD(U),12,Gaya(38),JITAN RAM MANJHI,494960,101812,Bihar
198,Janata Dal  (United) - JD(U),12,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,Bihar
199,Bharatiya Janata Party - BJP,12,Valmiki Nagar (1),SUNIL KUMAR,523422,98675,Bihar
200,Bharatiya Janata Party - BJP,12,Sheohar(4),LOVELY ANAND,476612,29143,Bihar
201,Bharatiya Janata Party - BJP,12,Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356,Bihar
202,Bharatiya Janata Party - BJP,12,Jhanjharpur(7),RAMPRIT MANDAL,533032,184169,Bihar
203,Bharatiya Janata Party - BJP,12,Supaul(8),DILESHWAR KAMAIT,595038,169803,Bihar
204,Bharatiya Janata Party - BJP,12,Madhepura(13),DINESH CHANDRA YADAV,640649,174534,Bihar
205,Bharatiya Janata Party - BJP,12,Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180,Bihar
206,Bharatiya Janata Party - BJP,12,Siwan(18),VIJAYLAKSHMI DEVI,386508,92857,Bihar
207,Bharatiya Janata Party - BJP,12,Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868,Bihar
208,Bharatiya Janata Party - BJP,12,Banka(27),GIRIDHARI YADAV,506678,103844,Bihar
209,Bharatiya Janata Party - BJP,12,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870,Bihar
210,Bharatiya Janata Party - BJP,12,Nalanda(29),KAUSHALENDRA KUMAR,559422,169114,Bihar
211,Bharatiya Janata Party - BJP,12,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568,Bihar
212,Bharatiya Janata Party - BJP,12,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287,Bihar
213,Bharatiya Janata Party - BJP,12,Madhubani(6),ASHOK KUMAR YADAV,553428,151945,Bihar
214,Bharatiya Janata Party - BJP,12,Araria(9),PRADEEP KUMAR SINGH,600146,20094,Bihar
215,Bharatiya Janata Party - BJP,12,Darbhanga(14),GOPAL JEE THAKUR,566630,178156,Bihar
216,Bharatiya Janata Party - BJP,12,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927,Bihar
217,Bharatiya Janata Party - BJP,12,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651,Bihar
218,Bharatiya Janata Party - BJP,12,Saran(20),RAJIV PRATAP RUDY,471752,13661,Bihar
219,Bharatiya Janata Party - BJP,12,Ujiarpur(22),NITYANAND RAI,515965,60102,Bihar
220,Bharatiya Janata Party - BJP,12,Begusarai(24),GIRIRAJ SINGH,649331,81480,Bihar
221,Bharatiya Janata Party - BJP,12,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846,Bihar
222,Bharatiya Janata Party - BJP,12,Nawada(39),VIVEK THAKUR,410608,67670,Bihar
223,Bharatiya Janata Party - BJP,12,Vaishali(16),VEENA DEVI,567043,89634,Bihar
224,Bharatiya Janata Party - BJP,12,Hajipur(21),CHIRAG PASWAN,615718,170105,Bihar
225,Bharatiya Janata Party - BJP,12,Samastipur(23),SHAMBHAVI,579786,187251,Bihar
226,Bharatiya Janata Party - BJP,12,Khagaria(25),RAJESH VERMA,538657,161131,Bihar
227,Bharatiya Janata Party - BJP,12,Jamui(40),ARUN BHARTI,509046,112482,Bihar
228,Bharatiya Janata Party - BJP,12,Patliputra(31),MISHA BHARTI,613283,85174,Bihar
229,Bharatiya Janata Party - BJP,12,Buxar(33),SUDHAKAR SINGH,438345,30091,Bihar
230,Bharatiya Janata Party - BJP,12,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591,Bihar
231,Bharatiya Janata Party - BJP,12,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111,Bihar
232,Bharatiya Janata Party - BJP,12,Kishanganj(10),MOHAMMAD JAWED,402850,59692,Bihar
233,Bharatiya Janata Party - BJP,12,Katihar(11),TARIQ ANWAR,567092,49863,Bihar
234,Bharatiya Janata Party - BJP,12,Sasaram(34),MANOJ KUMAR,513004,19157,Bihar
235,Bharatiya Janata Party - BJP,12,Arrah(32),SUDAMA PRASAD,529382,59808,Bihar
236,Bharatiya Janata Party - BJP,12,Karakat(35),RAJA RAM SINGH,380581,105858,Bihar
237,Bharatiya Janata Party - BJP,12,Gaya(38),JITAN RAM MANJHI,494960,101812,Bihar
238,Bharatiya Janata Party - BJP,12,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847,Bihar
239,Lok Janshakti Party(Ram Vilas) - LJPRV,5,Valmiki Nagar (1),SUNIL KUMAR,523422,98675,Bihar
240,Lok Janshakti Party(Ram Vilas) - LJPRV,5,Sheohar(4),LOVELY ANAND,476612,29143,Bihar
