,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
668,Bharatiya Janata Party - BJP,17,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,Karnataka
669,Bharatiya Janata Party - BJP,17,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647,Karnataka
670,Bharatiya Janata Party - BJP,17,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476,Karnataka
671,Bharatiya Janata Party - BJP,17,Bangalore central(25),P C MOHAN,658915,32707,Karnataka
672,Bharatiya Janata Party - BJP,17,Bangalore South(26),TEJASVI SURYA,750830,277083,Karnataka
673,Bharatiya Janata Party - BJP,17,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460,Karnataka
674,Bharatiya Janata Party - BJP,17,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834,Karnataka
675,Bharatiya Janata Party - BJP,17,Gulbarga(5),RADHAKRISHNA,652321,27205,Karnataka
676,Bharatiya Janata Party - BJP,17,Raichur(6),G. KUMAR NAIK.,670966,79781,Karnataka
677,Bharatiya Janata Party - BJP,17,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875,Karnataka
678,Bharatiya Janata Party - BJP,17,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357,Karnataka
679,Bharatiya Janata Party - BJP,17,Bellary(9),E. TUKARAM,730845,98992,Karnataka
680,Bharatiya Janata Party - BJP,17,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094,Karnataka
681,Bharatiya Janata Party - BJP,17,Hassan(16),SHREYAS. M. PATEL,672988,42649,Karnataka
682,Bharatiya Janata Party - BJP,17,Chamarajanagar(22),SUNIL BOSE,751671,188706,Karnataka
683,Bharatiya Janata Party - BJP,17,Mandya(20),H.D. KUMARASWAMY,851881,284620,Karnataka
684,Bharatiya Janata Party - BJP,17,Kolar(28),M. MALLESH BABU,691481,71388,Karnataka
685,Indian National Congress - INC,9,Belgaum(2),JAGADISH SHETTAR,762029,178437,Karnataka
686,Indian National Congress - INC,9,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399,Karnataka
687,Indian National Congress - INC,9,Bijapur(4),RAMESH JIGAJINAGI,672781,77229,Karnataka
688,Indian National Congress - INC,9,Haveri(10),BASAVARAJ BOMMAI,705538,43513,Karnataka
689,Indian National Congress - INC,9,Dharwad(11),PRALHAD JOSHI,716231,97324,Karnataka
690,Indian National Congress - INC,9,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428,Karnataka
691,Indian National Congress - INC,9,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715,Karnataka
692,Indian National Congress - INC,9,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175,Karnataka
693,Indian National Congress - INC,9,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208,Karnataka
694,Indian National Congress - INC,9,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121,Karnataka
695,Indian National Congress - INC,9,Tumkur(19),V. SOMANNA,720946,175594,Karnataka
696,Indian National Congress - INC,9,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262,Karnataka
697,Indian National Congress - INC,9,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647,Karnataka
698,Indian National Congress - INC,9,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476,Karnataka
699,Indian National Congress - INC,9,Bangalore central(25),P C MOHAN,658915,32707,Karnataka
700,Indian National Congress - INC,9,Bangalore South(26),TEJASVI SURYA,750830,277083,Karnataka
701,Indian National Congress - INC,9,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460,Karnataka
702,Indian National Congress - INC,9,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834,Karnataka
